Nama Pantai,Provinsi,Rating Angka,Predikat,Link Google Maps,Latitude,Longitude
Pantai pelangi matang Rayeuk pp,Aceh,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+pelangi+matang+Rayeuk+pp/data=!4m7!3m6!1s0x3037fff4e9e4300b:0x7917c3a7975bd41e!8m2!3d4.9392652!4d97.8010336!16s%2Fg%2F11n0x3c47w!19sChIJCzDk6fT_NzARHtRbl6fDF3k?authuser=0&hl=en&rclk=1,4.9392652,97.8010336
Pantai Sawang Biduk Buruak (SBB),Aceh,4.4,sangat bagus,https://www.google.com/maps/place/Pantai+Sawang+Biduk+Buruak+%28SBB%29/data=!4m7!3m6!1s0x303bce0ad10ecac3:0x7563e75908f80e8e!8m2!3d3.5349324!4d97.0046349!16s%2Fg%2F11c2np0yxm!19sChIJw8oO0QrOOzARjg74CFnnY3U?authuser=0&hl=en&rclk=1,3.5349324,97.0046349
Pantai Olo,Sumatera Utara,3.3,bagus,https://www.google.com/maps/place/Pantai+Olo/data=!4m7!3m6!1s0x3036ce90eb2fc3f3:0x6734f55f275e9443!8m2!3d3.7920996!4d98.7190002!16s%2Fg%2F11g6vm3lzw!19sChIJ88Mv65DONjARQ5ReJ1_1NGc?authuser=0&hl=en&rclk=1,3.7920996,98.7190002
Pantai Romantis,Sumatera Utara,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+Romantis/data=!4m7!3m6!1s0x3031512d736bbf25:0xa8c63fecec492c65!8m2!3d3.5856526!4d99.099502!16s%2Fg%2F11b7q5f6_m!19sChIJJb9rcy1RMTARZSxJ7Ow_xqg?authuser=0&hl=en&rclk=1,3.5856526,99.099502
Pantai BUL BUL,Sumatera Utara,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+BUL+BUL/data=!4m7!3m6!1s0x302e041198ee45d1:0x7438dfa4c9a63950!8m2!3d2.3484022!4d99.0732353!16s%2Fg%2F11b_3fytd8!19sChIJ0UXumBEELjARUDmmyaTfOHQ?authuser=0&hl=en&rclk=1,2.3484022,99.0732353
Pantai Mutiara,Sumatera Utara,4.0,bagus,https://www.google.com/maps/place/Pantai+Mutiara/data=!4m7!3m6!1s0x30314cfe9ddbed59:0x7a3ac141f037e95e!8m2!3d3.6627012!4d98.9649313!16s%2Fg%2F11f2b60wgt!19sChIJWe3bnf5MMTARXuk38EHBOno?authuser=0&hl=en&rclk=1,3.6627012,98.9649313
Pantai Bosur,Sumatera Utara,4.0,bagus,https://www.google.com/maps/place/Pantai+Bosur/data=!4m7!3m6!1s0x302ef2b7c9defce7:0x6128a93e0ad6992!8m2!3d1.674246!4d98.8275626!16s%2Fg%2F11b7c689p2!19sChIJ5_zeybfyLjARkmmt4JOKEgY?authuser=0&hl=en&rclk=1,1.674246,98.8275626
Pantai Lumban Bul Bul,Sumatera Utara,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Lumban+Bul+Bul/data=!4m7!3m6!1s0x302e04746a9d2759:0x6db93fac96bc4a60!8m2!3d2.3479207!4d99.0752046!16s%2Fg%2F11b77fznqv!19sChIJWSedanQELjARYEq8lqw_uW0?authuser=0&hl=en&rclk=1,2.3479207,99.0752046
Pantai Pasir Putih Parparean,Sumatera Utara,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+Pasir+Putih+Parparean/data=!4m7!3m6!1s0x3031ffd451ee5d77:0x4329e9a7d027afb0!8m2!3d2.4318413!4d99.149081!16s%2Fg%2F11cs2btn5v!19sChIJd13uUdT_MTARsK8n0KfpKUM?authuser=0&hl=en&rclk=1,2.4318413,99.149081
Pantai Sialang Buah,Sumatera Utara,4.1,sangat bagus,https://www.google.com/maps/place/Pantai+Sialang+Buah/data=!4m7!3m6!1s0x30315722353e3451:0xc5fe8af53d540f43!8m2!3d3.5699434!4d99.1207948!16s%2Fg%2F11ck2q1hpz!19sChIJUTQ-NSJXMTARQw9UPfWK_sU?authuser=0&hl=en&rclk=1,3.5699434,99.1207948
Pantai Sri Mersing,Sumatera Utara,4.1,sangat bagus,https://www.google.com/maps/place/Pantai+Sri+Mersing/data=!4m7!3m6!1s0x3031520be6cef5c7:0xa42012d21c6fd4ed!8m2!3d3.632547!4d99.017264!16s%2Fg%2F11ckvkwgzd!19sChIJx_XO5gtSMTAR7dRvHNISIKQ?authuser=0&hl=en&rclk=1,3.632547,99.017264
Pantai pasir putih said dolok,Sumatera Utara,4.5,sangat bagus,https://www.google.com/maps/place/Pantai+pasir+putih+said+dolok/data=!4m7!3m6!1s0x3031eda50f73766f:0x3bdeda721ffe8650!8m2!3d2.6809914!4d98.9242616!16s%2Fg%2F11p02mnxvt!19sChIJb3ZzD6XtMTARUIb-H3La3js?authuser=0&hl=en&rclk=1,2.6809914,98.9242616
Bebas Beach Parapat,Sumatera Utara,4.5,sangat bagus,https://www.google.com/maps/place/Bebas+Beach+Parapat/data=!4m7!3m6!1s0x3031ec1ce767b511:0x7a933989fde98bcc!8m2!3d2.6683978!4d98.9370427!16s%2Fg%2F11bv38pln4!19sChIJEbVn5xzsMTARzIvp_Yk5k3o?authuser=0&hl=en&rclk=1,2.6683978,98.9370427
Pantai Sibandol,Sumatera Utara,4.6,sangat bagus,https://www.google.com/maps/place/Pantai+Sibandol/data=!4m7!3m6!1s0x3031e1dddc3c34ef:0x2b38115fc017372!8m2!3d2.4360657!4d98.9008335!16s%2Fg%2F11c54bsg6j!19sChIJ7zQ83N3hMTARcnMB_BWBswI?authuser=0&hl=en&rclk=1,2.4360657,98.9008335
Objek Wisata Pantai Paris,Sumatera Utara,4.3,sangat bagus,https://www.google.com/maps/place/Objek+Wisata+Pantai+Paris/data=!4m7!3m6!1s0x3031be4dacbb753f:0x66d6b7ab5cf56d7b!8m2!3d2.80154!4d98.780056!16s%2Fg%2F11b86lnmg0!19sChIJP3W7rE2-MTARe231XKu31mY?authuser=0&hl=en&rclk=1,2.80154,98.780056
Pantai Cermin,Sumatera Utara,4.0,bagus,https://www.google.com/maps/place/Pantai+Cermin/data=!4m7!3m6!1s0x30314cfe85bef511:0xac8d3f94468a8ad9!8m2!3d3.6520945!4d98.9876565!16s%2Fg%2F11bwdcbcfn!19sChIJEfW-hf5MMTAR2YqKRpQ_jaw?authuser=0&hl=en&rclk=1,3.6520945,98.9876565
Sibolazi Beach,Sumatera Utara,4.2,sangat bagus,https://www.google.com/maps/place/Sibolazi+Beach/data=!4m7!3m6!1s0x3031bf54564cdc7f:0x181dff6b9a275193!8m2!3d2.7486107!4d98.7509865!16s%2Fg%2F11bzt7sv7j!19sChIJf9xMVlS_MTARk1Enmmv_HRg?authuser=0&hl=en&rclk=1,2.7486107,98.7509865
Pantai Batu Rusa,Sumatera Utara,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Batu+Rusa/data=!4m7!3m6!1s0x302966002ffd8073:0x473a56699b594da7!8m2!3d0.8209505!4d99.0135832!16s%2Fg%2F11f3njv906!19sChIJc4D9LwBmKTARp01Zm2lWOkc?authuser=0&hl=en&rclk=1,0.8209505,99.0135832
Penginapan pantai indah pandan kabupaten tapanuli tengah,Sumatera Utara,4.2,sangat bagus,https://www.google.com/maps/place/Penginapan+pantai+indah+pandan+kabupaten+tapanuli+tengah/data=!4m7!3m6!1s0x302ef2c47dcd655b:0xa4f1d37d314e651b!8m2!3d1.6827982!4d98.8197554!16s%2Fg%2F11bx2kwdvb!19sChIJW2XNfcTyLjARG2VOMX3T8aQ?authuser=0&hl=en&rclk=1,1.6827982,98.8197554
Pantai Barat Natal,Sumatera Utara,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Barat+Natal/data=!4m7!3m6!1s0x30298177ffbc0bf5:0xabd7d716f558d61a!8m2!3d0.5564014!4d99.1125206!16s%2Fg%2F11dzz6psbc!19sChIJ9Qu8_3eBKTARGtZY9RbX16s?authuser=0&hl=en&rclk=1,0.5564014,99.1125206
Pantai TukTuk,Sumatera Utara,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+TukTuk/data=!4m7!3m6!1s0x3031bebb09cbeecd:0x3558c08d10e0c548!8m2!3d2.8121481!4d98.7627634!16s%2Fg%2F11b73zgjvf!19sChIJze7LCbu-MTARSMXgEI3AWDU?authuser=0&hl=en&rclk=1,2.8121481,98.7627634
Pantai Kahona,Sumatera Utara,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Kahona/data=!4m7!3m6!1s0x302fb0d786fcfb2d:0xa229c8f3315c5f4c!8m2!3d2.035093!4d98.3503959!16s%2Fg%2F11b7lq7ksh!19sChIJLfv8htewLzARTF9cMfPIKaI?authuser=0&hl=en&rclk=1,2.035093,98.3503959
Pantai Mangrove (Wisata Mangrove),Sumatera Utara,4.2,sangat bagus,https://www.google.com/maps/place/Pantai+Mangrove+%28Wisata+Mangrove%29/data=!4m7!3m6!1s0x30315127aaaaaaab:0xd2629b0e83aafe0d!8m2!3d3.5908402!4d99.0930098!16s%2Fg%2F11b825lyxy!19sChIJq6qqqidRMTARDf6qgw6bYtI?authuser=0&hl=en&rclk=1,3.5908402,99.0930098
Batuhoda Beach,Sumatera Utara,4.4,sangat bagus,https://www.google.com/maps/place/Batuhoda+Beach/data=!4m7!3m6!1s0x3031c715b0bed547:0x346964c80c83147!8m2!3d2.759845!4d98.725414!16s%2Fg%2F11rtsn0zhj!19sChIJR9W-sBXHMTARRzHIgEyWRgM?authuser=0&hl=en&rclk=1,2.759845,98.725414
